"tripduration","starttime","stoptime","start station id","start station name","start station latitude","start station longitude","end station id","end station name","end station latitude","end station longitude","bikeid","usertype","birth year","gender"
201,"2019-01-01 03:09:09.7110","2019-01-01 03:12:30.8790",3183,"Exchange Place",40.7162469,-74.0334588,3214,"Essex Light Rail",40.7127742,-74.0364857,29612,"Subscriber",1993,1
505,"2019-01-01 05:18:00.1060","2019-01-01 05:26:25.9050",3183,"Exchange Place",40.7162469,-74.0334588,3638,"Washington St",40.7242941,-74.0354826,29213,"Subscriber",1972,2
756,"2019-01-01 10:36:33.3400","2019-01-01 10:49:10.2600",3183,"Exchange Place",40.7162469,-74.0334588,3192,"Liberty Light Rail",40.7112423,-74.0557013,26164,"Subscriber",1985,1
1575,"2019-01-01 12:43:38.6430","2019-01-01 13:09:54.5280",3183,"Exchange Place",40.7162469,-74.0334588,3638,"Washington St",40.7242941,-74.0354826,29672,"Customer",1969,0
1566,"2019-01-01 12:43:39.6010","2019-01-01 13:09:46.5100",3183,"Exchange Place",40.7162469,-74.0334588,3638,"Washington St",40.7242941,-74.0354826,29522,"Customer",1969,0
737,"2019-01-01 12:56:53.2040","2019-01-01 13:09:11.0400",3183,"Exchange Place",40.7162469,-74.0334588,3205,"JC Medical Center",40.71653978099194,-74.0496379137039,29447,"Subscriber",1993,1
917,"2019-01-01 13:03:44.7760","2019-01-01 13:19:02.7690",3183,"Exchange Place",40.7162469,-74.0334588,3277,"Communipaw & Berry Lane",40.71435836870427,-74.06661093235016,29299,"Subscriber",1986,1
3248,"2019-01-01 13:12:03.1280","2019-01-01 14:06:12.0400",3183,"Exchange Place",40.7162469,-74.0334588,3196,"Riverview Park",40.7443187,-74.0439909,29495,"Subscriber",1992,1
3168,"2019-01-01 13:13:12.0450","2019-01-01 14:06:00.4110",3183,"Exchange Place",40.7162469,-74.0334588,3196,"Riverview Park",40.7443187,-74.0439909,26312,"Customer",1969,0
353,"2019-01-01 17:07:44.6670","2019-01-01 17:13:38.2640",3183,"Exchange Place",40.7162469,-74.0334588,3202,"Newport PATH",40.7272235,-74.0337589,26212,"Subscriber",1994,1
503,"2019-01-01 17:34:50.9580","2019-01-01 17:43:14.3190",3183,"Exchange Place",40.7162469,-74.0334588,3202,"Newport PATH",40.7272235,-74.0337589,29661,"Customer",1992,1
285,"2019-01-01 18:06:03.1680","2019-01-01 18:10:48.5380",3183,"Exchange Place",40.7162469,-74.0334588,3267,"Morris Canal",40.7124188237569,-74.03852552175522,29544,"Subscriber",1990,1
229,"2019-01-01 20:05:04.5760","2019-01-01 20:08:53.8630",3183,"Exchange Place",40.7162469,-74.0334588,3638,"Washington St",40.7242941,-74.0354826,29307,"Subscriber",1996,1
211,"2019-01-01 21:04:58.8810","2019-01-01 21:08:30.5600",3183,"Exchange Place",40.7162469,-74.0334588,3214,"Essex Light Rail",40.7127742,-74.0364857,29217,"Subscriber",1993,1
111,"2019-01-01 21:52:09.2980","2019-01-01 21:54:00.4550",3183,"Exchange Place",40.7162469,-74.0334588,3183,"Exchange Place",40.7162469,-74.0334588,29453,"Subscriber",1987,1
663,"2019-01-01 21:54:27.9360","2019-01-01 22:05:31.8800",3183,"Exchange Place",40.7162469,-74.0334588,3183,"Exchange Place",40.7162469,-74.0334588,29286,"Subscriber",1987,1
451,"2019-01-02 00:08:06.5510","2019-01-02 00:15:38.0940",3183,"Exchange Place",40.7162469,-74.0334588,3681,"Grand St",40.71517767732029,-74.03768330812454,29453,"Subscriber",1960,1
742,"2019-01-02 07:17:22.2050","2019-01-02 07:29:45.1610",3183,"Exchange Place",40.7162469,-74.0334588,3270,"Jersey & 6th St",40.72528910781132,-74.04557168483734,29608,"Subscriber",1977,1
121,"2019-01-02 07:55:53.5040","2019-01-02 07:57:54.9410",3183,"Exchange Place",40.7162469,-74.0334588,3184,"Paulus Hook",40.7141454,-74.0335519,29122,"Subscriber",1966,1
284,"2019-01-02 08:09:38.7570","2019-01-02 08:14:23.6940",3183,"Exchange Place",40.7162469,-74.0334588,3185,"City Hall",40.7177325,-74.043845,26202,"Subscriber",1986,1
120,"2019-01-02 08:18:36.9570","2019-01-02 08:20:37.9440",3183,"Exchange Place",40.7162469,-74.0334588,3681,"Grand St",40.71517767732029,-74.03768330812454,29602,"Subscriber",1975,2
75,"2019-01-02 08:25:25.9610","2019-01-02 08:26:41.4140",3183,"Exchange Place",40.7162469,-74.0334588,3184,"Paulus Hook",40.7141454,-74.0335519,29228,"Subscriber",1975,1
113,"2019-01-02 08:47:54.6750","2019-01-02 08:49:47.9970",3183,"Exchange Place",40.7162469,-74.0334588,3639,"Harborside",40.7192517,-74.034234,26278,"Subscriber",1969,1
187,"2019-01-02 10:39:26.6940","2019-01-02 10:42:34.6680",3183,"Exchange Place",40.7162469,-74.0334588,3186,"Grove St PATH",40.71958611647166,-74.04311746358871,26288,"Subscriber",1982,1
259,"2019-01-02 10:57:36.4500","2019-01-02 11:01:55.7620",3183,"Exchange Place",40.7162469,-74.0334588,3267,"Morris Canal",40.7124188237569,-74.03852552175522,29641,"Subscriber",1984,1
969,"2019-01-02 11:45:40.3390","2019-01-02 12:01:49.4380",3183,"Exchange Place",40.7162469,-74.0334588,3207,"Oakland Ave",40.7376037,-74.0524783,29252,"Subscriber",1981,1
355,"2019-01-02 12:12:43.7790","2019-01-02 12:18:39.1990",3183,"Exchange Place",40.7162469,-74.0334588,3272,"Jersey & 3rd",40.72333158646436,-74.04595255851744,29484,"Subscriber",1988,1
288,"2019-01-02 12:22:12.8260","2019-01-02 12:27:01.5450",3183,"Exchange Place",40.7162469,-74.0334588,3186,"Grove St PATH",40.71958611647166,-74.04311746358871,29293,"Subscriber",1981,2
2602,"2019-01-02 12:27:14.6360","2019-01-02 13:10:37.2240",3183,"Exchange Place",40.7162469,-74.0334588,3183,"Exchange Place",40.7162469,-74.0334588,29286,"Customer",1969,0
1360,"2019-01-02 12:32:56.9960","2019-01-02 12:55:37.7920",3183,"Exchange Place",40.7162469,-74.0334588,3183,"Exchange Place",40.7162469,-74.0334588,26208,"Customer",1971,1
373,"2019-01-02 12:39:41.5430","2019-01-02 12:45:54.7970",3183,"Exchange Place",40.7162469,-74.0334588,3202,"Newport PATH",40.7272235,-74.0337589,29645,"Subscriber",1981,1
377,"2019-01-02 12:39:43.2310","2019-01-02 12:46:00.3800",3183,"Exchange Place",40.7162469,-74.0334588,3202,"Newport PATH",40.7272235,-74.0337589,29443,"Subscriber",1971,1
240,"2019-01-02 13:49:29.2500","2019-01-02 13:53:29.9910",3183,"Exchange Place",40.7162469,-74.0334588,3185,"City Hall",40.7177325,-74.043845,26208,"Subscriber",1982,2
476,"2019-01-02 15:24:31.3880","2019-01-02 15:32:27.5130",3183,"Exchange Place",40.7162469,-74.0334588,3187,"Warren St",40.7211236,-74.03805095,29598,"Subscriber",1987,2
332,"2019-01-02 15:53:25.0180","2019-01-02 15:58:57.2650",3183,"Exchange Place",40.7162469,-74.0334588,3186,"Grove St PATH",40.71958611647166,-74.04311746358871,26193,"Subscriber",1958,1
208,"2019-01-02 16:44:06.1120","2019-01-02 16:47:34.3600",3183,"Exchange Place",40.7162469,-74.0334588,3267,"Morris Canal",40.7124188237569,-74.03852552175522,29289,"Subscriber",1994,2
274,"2019-01-02 16:48:19.0440","2019-01-02 16:52:53.5910",3183,"Exchange Place",40.7162469,-74.0334588,3267,"Morris Canal",40.7124188237569,-74.03852552175522,29517,"Subscriber",1968,1
1187,"2019-01-02 16:59:39.3560","2019-01-02 17:19:26.6240",3183,"Exchange Place",40.7162469,-74.0334588,3183,"Exchange Place",40.7162469,-74.0334588,29508,"Customer",1969,0
1113,"2019-01-02 17:00:47.9260","2019-01-02 17:19:21.1880",3183,"Exchange Place",40.7162469,-74.0334588,3183,"Exchange Place",40.7162469,-74.0334588,29127,"Customer",1969,0
102,"2019-01-02 17:00:57.6110","2019-01-02 17:02:39.9950",3183,"Exchange Place",40.7162469,-74.0334588,3184,"Paulus Hook",40.7141454,-74.0335519,29286,"Subscriber",1960,1
956,"2019-01-02 17:03:31.6230","2019-01-02 17:19:28.2540",3183,"Exchange Place",40.7162469,-74.0334588,3183,"Exchange Place",40.7162469,-74.0334588,29475,"Customer",1969,0
283,"2019-01-02 17:09:55.6270","2019-01-02 17:14:39.0180",3183,"Exchange Place",40.7162469,-74.0334588,3267,"Morris Canal",40.7124188237569,-74.03852552175522,26208,"Subscriber",1976,2
