Job,Respondent_Serial,cfmc_case_id,UniqueID,qday1typical,qday1triptravelcode01,qday1triptravelcode02,qday1triptravelcode03,qday1triptravelcode04,qday1triptravelcode05,qday1triptravelcode06,qday1triptravelcode07,qday1triptravelcode08,qday1triptravelcode09,qday1triptravelcode10,qday1triptravelcode11,qday1triptravelcode12,qday1triptravelcode13,qday1triptravelcode14,qday1triptravelcode15,qday1triptravelcode16,qday1triptravelcode17,qday1triptravelcode18,qday1triptravelcode19,qday1triptravelcode20,qday1triptravelcode21,qday1triptravelcode22,qday1triptravelcode23,qday1triptravelcode24,qday1triptravelcode25,qday1triptravelcode26,qday1trippurpose,qday1tripdestination,qday1triplength,qDAY1TRIP1TRANSITTO1,qDAY1TRIP1TRANSITTO2,qDAY1TRIP1TRANSITTO3,qDAY1TRIP1TRANSITTO4,qDAY1TRIP1TRANSITTO5,qDAY1TRIP1TRANSITTO6,qDAY1TRIP1TRANSITTO7,qDAY1TRIP1TRANSITFROM1,qDAY1TRIP1TRANSITFROM2,qDAY1TRIP1TRANSITFROM3,qDAY1TRIP1TRANSITFROM4,qDAY1TRIP1TRANSITFROM5,qDAY1TRIP1TRANSITFROM6,qDAY1TRIP1TRANSITFROM7,qday,qgender,qage,qrace,qhispanic,qeducation,qincome,qBorough1,qBorough2,qBorough3,qBorough4,qBorough5,qcaraccess,qcarchange,qDISABILITY1,qDISABILITY2,qDISABILITY3,qDISABILITY4,qDISABILITY5,qDISABILITY6,qDISABILITY7,qDISABILITY8,qsmartphone,qSurveyZone,Qagecode_final1,Qagecode_final2,Qagecode_final3,Qagecode_final4,Qagecode_final5,Qagecode_final6,Qagecode_final7,qcitibike,Filt_Number_of_Trips,qWPSurveyZone01,qWPSurveyZone02,qWPSurveyZone03,qWPSurveyZone04,qWPSurveyZone05,qWPSurveyZone06,qWPSurveyZone07,qWPSurveyZone08,qWPSurveyZone09,qWPSurveyZone10,qday1trip1start,qday1trip1_outsidenyc_start,qday1trip1startcode,qday1trip1end,qday1trip1_outsidenyc_end,DAY1TRIPNTANAMECMB,qday1trip1park,qday1trip1parkpay,qday1trip1parkpay_amount,qday1trip1bikestore,qday1triptravelcode_sp,qModeGrouping,qSustainableMode,allwt,BOROUGHWt,racewt,eduwt,agegenwt
1, ,10000009,120000009,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2, ,30,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7,2,45,7,5,2,3,0,0,0,0,1,3, ,0,0,0,0,0,1,0,0,1,9,0,0,0,1,0,0,0,2,4, , , , , , , , , , ,1, ,1,1, , , , ,0, ,2,5,1,0.949970269,5,6,1,5
1, ,10000010,120000010,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,30, , , , , , , , , , , , , , ,7,2,50,1,1,7,6,1,0,0,0,0,1,3,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,1, ,1,6, , ,1,2,0, ,11,6,2,0.534984633,1,1,2,5
1, ,10000012,120000012,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,15, , , , , , , , , , , , , , ,7,1,80,3,1,7,9,0,1,0,0,0,3, ,0,0,0,0,0,1,0,0,1,3,0,0,0,0,0,1,0,2,3, , , , , , , , , , ,1, ,1,13, , , , ,0, ,1,8,1,1.942687135,2,3,2,3
1, ,10000013,120000013,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2, ,120, , , , , , , , , , , , , , ,7,2,59,2,1,5,3,1,0,0,0,0,3, ,0,0,0,0,0,1,0,0,1,7,0,0,0,0,1,0,0,2,5,0,0,1,0,0,0,0,0,0,0,2, ,1,1, , , , ,0, ,1,8,1,0.291739567,1,2,2,6
1, ,10000033,120000033,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,15, , , , , , , , , , , , , , ,3,2,68,1,1,6,2,0,1,0,0,0,3, ,0,0,0,0,0,1,0,0,2,3,0,0,0,0,0,1,0,2,2, , , , , , , , , , ,5, ,1,5, , , , ,0, ,1,8,1,0.711909966,2,1,2,6
1, ,10000035,120000035,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5, ,20, , , , , , , , , , , , , , ,3,2,61,1,1,7,9,0,1,0,0,0,3, ,0,0,0,0,0,1,0,0,1,3,0,0,0,0,1,0,0,2,4,0,0,1,0,0,0,0,0,0,0,6, ,1,1, , , , ,0, ,1,8,1,0.711909966,2,1,2,6
1, ,10000041,120000041,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,20, , , , , , , , , , , , , , ,3,2,36,2,1,6,11,0,0,0,0,1,1,3,0,0,0,0,0,1,0,0,1,5,0,0,1,0,0,0,0,2,7,0,0,0,0,0,0,0,0,1,0,2, ,1,7, , ,1,2,0, ,11,6,2,0.740655832,5,2,2,5
1, ,10000054,120000054,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,115, , , , , , , , , , , , , , ,4,1,66,1,1,7,11,0,0,1,0,0,1,3,0,0,0,0,0,1,0,0,1,8,0,0,0,0,0,1,0,2,4, , , , , , , , , , ,1, ,1,10, , ,1,1,200, ,11,6,2,0.686312929,3,1,2,3
1, ,10000077,120000077,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,20, , , , , , , , , , , , , , ,5,1,67,1,1,7,7,0,0,0,1,0,1,3,0,0,0,0,0,1,0,0,2,10,0,0,0,0,0,1,0,2,4, , , , , , , , , , ,1, ,1,5, , ,5,2,0, ,11,6,2,0.958809087,4,1,2,3
1, ,10000088,120000088,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,20, , , , , , , , , , , , , , ,5,2,79,1,1,6,7,1,0,0,0,0,1,3,0,0,0,0,0,1,0,0,1,7,0,0,0,0,0,1,0,2,7,0,0,0,0,0,0,1,0,0,0,1, ,1,3, , ,1,2,0, ,11,6,2,0.395192743,1,1,2,6
